document,document_id,arm,arm_id,Outcome value,manually-added outcome value,remove paper,Will be fixable in EPPI - will need to update the JSON file,will need to be fixed via supplementary file merge,Combined follow up,Biochemical verification,CBT,Motivational Interviewing,brief advise,1.1.Goal setting,1.2 Problem solving,1.4 Action planning,2.2 Feedback on behaviour,2.3 Self-monitoring of behavior,3.1 Social support,4.1 Instruction on how to perform the behavior,4.5. Advise to change behavior,5.1 Information about health consequences,5.3 Information about social and environmental consequences,11.1 Pharmacological support,11.2 Reduce negative emotions,Group-based,Face to face,phone,Website / Computer Program / App,Patch,Somatic,gum,e_cigarette,inhaler,lozenge,nasal_spray,placebo,nrt,Pill,bupropion,varenicline,Printed material,Digital content type,text messaging,Health Professional,doctor,nurse,pychologist,aggregate patient role,Mean age,Proportion identifying as female gender,Mean number of times tobacco used,Country of intervention,healthcare facility,Pharmaceutical company funding,Pharmaceutical company competing interest,Individual-level analysed
2014 StopAdvisor outcome paper.pdf,252978,Control,92,10,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,62,18.5,UK,0,0,1,2292
2014 StopAdvisor outcome paper.pdf,252978,StopAdvisor,87,10,,,,,-,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,63,18.7,UK,0,0,1,2321
2015 EARS outcome paper 1.pdf,252982,Exercise Assisted Reduction to Stopping Smoking (EARRS),19,63.3,,,,,-,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,-,-,United Kingdom,0,0,0,-
2015 EARS outcome paper 1.pdf,252982,Usual Care,20,32.3,,,,,-,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,United Kingdom,0,0,0,-
2015 LEAP trial outcome paper.pdf,252984,Supervised Exercise,21,8,,,,,-,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,-,-,multinational,0,0,1,392
2015 LEAP trial outcome paper.pdf,252984,Control,22,6,,,,,-,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,-,-,multinational,0,0,1,393
2016 Babex trial main outcome paper.pdf,252980,Single face-to-face session of quit advice plus a single training session on yogic breathing exercises (BAY-BE),15,2.6,,,,,-,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,45.2,22.6,-,India,0,0,1,611
2016 Babex trial main outcome paper.pdf,252980,Single face-to-face session of quit advice (VBA),16,0.5,,,,,-,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,47.4,17.9,-,India,0,0,1,602
2016 EAGLES outcome paper.pdf,252976,Non-psychiatric & Bupropion,27,18.8,,,,,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,46,49,20.6,multinational,0,1,1,1001
2016 EAGLES outcome paper.pdf,252976,Non Psychiatric & Nicotine Patch,28,18.5,,,,,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,46.1,51,20.8,multinational,0,1,1,1013
2016 EAGLES outcome paper.pdf,252976,Non-psychiatric & Placebo,29,10.5,,,,,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45.9,51,20.5,multinational,0,1,1,1009
2016 EAGLES outcome paper.pdf,252976,Psychiatric & Bupropion,24,13.7,,,,,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,46.7,62,20.5,multinational,0,1,1,1033
2016 EAGLES outcome paper.pdf,252976,Psychiatric & Nicotine Patch,25,13,,,,,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,47.6,62,20.8,multinational,0,1,1,1025
2016 EAGLES outcome paper.pdf,252976,Non-psychiatric & varencline,30,25.5,,,,,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,45.8,48,20.8,multinational,0,1,1,1005
2016 EAGLES outcome paper.pdf,252976,Psychiatric & Varenicline,23,18.3,,,,,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,47.2,62,20.6,multinational,0,1,1,1032
2016 EAGLES outcome paper.pdf,252976,Psychiatric & Placebo,26,8.3,,,,,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,46.9,62,20.7,multinational,0,1,1,1026
Abdullah 2005.pdf,296253,Intervention group,17,15.3,,,,,26.1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-,15.8,14.5,China,0,0,0,444
Abdullah 2005.pdf,296253,Control group,18,7.4,,,,,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,16.1,14.5,China,0,0,0,459
Abrantes 2014.pdf,263048,Aerobic Exercise - AE,3,26.7,,,,,-,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,47.1,63.3,20.3,-,0,0,0,30
Abrantes 2014.pdf,263048,Health education control - HEC,4,12.9,,,,,-,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,47.5,67.7,19.4,-,0,0,0,31
Abroms 2008.pdf,263049,X-Pack,6,10.2,,,,,-,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19.8,47.9,9.9,-,0,0,0,48
Abroms 2008.pdf,263049,Clearing the Air (CTA),7,5.7,,,,,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.8,42.9,8,-,0,0,0,35
Abroms 2014.pdf,263050,Control,118,5,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5,62.8,16.86,U.S.,0,0,0,241
