document,document_id,arm,arm_id,control,Biochemical verification,CBT,Motivational Interviewing,brief advise,1.1.Goal setting,1.2 Problem solving,1.4 Action planning,2.2 Feedback on behaviour,2.3 Self-monitoring of behavior,3.1 Social support,4.1 Instruction on how to perform the behavior,4.5. Advise to change behavior,5.1 Information about health consequences,5.3 Information about social and environmental consequences,11.1 Pharmacological support,11.2 Reduce negative emotions,Group-based,Face to face,phone,Website / Computer Program / App,Patch,Somatic,gum,e_cigarette,inhaler,lozenge,nasal_spray,placebo,nrt,Pill,bupropion,varenicline,Printed material,Digital content type,text messaging,Health Professional,doctor,nurse,pychologist,aggregate patient role,Mean age,Proportion identifying as female gender,Mean number of times tobacco used,Country of intervention,healthcare facility,Pharmaceutical company funding,Pharmaceutical company competing interest,Individual-level analysed,Combined follow up,Abstinence type,Abstinence: Continuous ,Abstinence: Point Prevalence ,Manually added follow-up duration value,Manually added follow-up duration units,NEW Outcome value
2014 StopAdvisor outcome paper.pdf,252978,Control,92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,62,18.5,UK,0,0,1,2292,26.10,C,1,0,6,months,10
2014 StopAdvisor outcome paper.pdf,252978,StopAdvisor,87,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,63,18.7,UK,0,0,1,2321,26.10,C,1,0,6,months,10
2015 EARS outcome paper 1.pdf,252982,Exercise Assisted Reduction to Stopping Smoking (EARRS),19,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,-,-,United Kingdom,0,0,0,-,4.00,C,1,0,4,weeks,14.3
2015 EARS outcome paper 1.pdf,252982,Usual Care,20,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,United Kingdom,0,0,0,-,4.00,C,1,0,4,weeks,4
2015 LEAP trial outcome paper.pdf,252984,Supervised Exercise,21,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,-,-,multinational,0,0,1,392,-,C,1,0,na,,8
2015 LEAP trial outcome paper.pdf,252984,Control,22,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,-,-,multinational,0,0,1,393,-,C,1,0,na,,6
2016 Babex trial main outcome paper.pdf,252980,Single face-to-face session of quit advice plus a single training session on yogic breathing exercises (BAY-BE),15,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,45.2,22.6,-,India,0,0,1,611,26.10,C,1,0,6,months,2.6
2016 Babex trial main outcome paper.pdf,252980,Single face-to-face session of quit advice (VBA),16,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,47.4,17.9,-,India,0,0,1,602,26.10,C,1,0,6,months,0.5
2016 EAGLES outcome paper.pdf,252976,Non-psychiatric & Bupropion,27,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,46,49,20.6,multinational,0,1,1,1001,12.00,C,1,0,12,weeks,18.8
2016 EAGLES outcome paper.pdf,252976,Non Psychiatric & Nicotine Patch,28,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,46.1,51,20.8,multinational,0,1,1,1013,12.00,C,1,0,12,weeks,18.5
2016 EAGLES outcome paper.pdf,252976,Non-psychiatric & Placebo,29,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,45.9,51,20.5,multinational,0,1,1,1009,12.00,C,1,0,12,weeks,10.5
