document_id,arm_id,Combined follow up_old,Combined follow up_new,Abstinence type_old,Abstinence type_new,Abstinence: Continuous _old,Abstinence: Continuous _new,Abstinence: Point Prevalence _old,Abstinence: Point Prevalence _new,6451791_old,6451791_new,6451788_old,6451788_new,6080485_old,6080485_new,Manually added follow-up duration value_old,Manually added follow-up duration value_new,Manually added follow-up duration units_old,Manually added follow-up duration units_new,6080481_old,6080481_new,6080512_old,6080512_new,6823485_old,6823485_new,1.1.Goal setting_old,1.1.Goal setting_new,6452746_old,6452746_new,3.1 Social support_old,3.1 Social support_new,6452831_old,6452831_new,6452838_old,6452838_new,6452948_old,6452948_new,6452949_old,6452949_new,6080704_old,6080704_new,pychologist_old,pychologist_new,aggregate patient role_old,aggregate patient role_new,6080518_old,6080518_new,6080719_old,6080719_new,"Pregnancy trial 1 = yes, 2 = mix pg and non-pg_old","Pregnancy trial 1 = yes, 2 = mix pg and non-pg_new","Relapse prevention trial (1 = yes, 2 = mix of quitters and non-abstinent)_old","Relapse prevention trial (1 = yes, 2 = mix of quitters and non-abstinent)_new",6080694_old,6080694_new
423124,1947,52,52.2,,PP,,0,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423124,1946,52,52.2,,PP,,0,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905,68,,52.2,,PP,,0,,1,,7,0,1,37,36.7,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905,70,,52.2,,PP,,0,,1,,4,0,1,,,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905,67,,52.2,,PP,,0,,1,,6,0,1,,,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252905,69,,52.2,,PP,,0,,1,,5,0,1,40,39.6,,12,,months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263234,347,52,52.2,,NCS,,0,,0,,18.8,,,52,52.5,,,,,51,50.7,12,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263234,348,52,52.2,,NCS,,0,,0,,19.2,,,51,51.3,,,,,49,48.8,13,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436357,2643,52,52.2,,C,,1,,0,,12.6,,,,,,,,,,,22,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436357,2644,52,52.2,,C,,1,,0,,4.1,,,,,,,,,,,24,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296278,503,26,26.1,,PP,,0,,1,,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296278,504,26,26.1,,PP,,0,,1,,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263151,250,52,52.2,,PP,,0,,1,,11.1,,,,,,,,,,,16,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263151,252,52,52.2,,PP,,0,,1,,7.4,,,,,,,,,,,16,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437483,2314,,,,PP,,0,,1,,10,,,,,,,,,54,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437483,2313,,,,PP,,0,,1,,20,,,,,,,,,52,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423137,2048,26,26.1,,PP,,0,,1,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423137,2047,26,26.1,,PP,,0,,1,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263084,163,26,26.1,,C,,1,,0,,15,,,,,,,,,36,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263084,164,26,26.1,,C,,1,,0,,8,,,,,,,,,36,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,204,,,,PP,,0,,1,,11,,,40,40.5,,,,,43,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,199,,,,PP,,0,,1,,24,,,,,,,,,38,37.9,22,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,203,,,,PP,,0,,1,,17,,,47,47.2,,,,,39,39.3,22,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,200,,,,PP,,0,,1,,25,,,42,41.7,,,,,37,37.1,20,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,201,,,,PP,,0,,1,,17,,,46,45.7,,,,,41,40.9,20,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263120,202,,,,PP,,0,,1,,18,,,45,44.7,,,,,38,37.8,21,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437481,2280,157,156.6,,PP,,0,,1,,8,,,,,,,,,43,42.7,27,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437481,2279,157,156.6,,PP,,0,,1,,11,,,,,,,,,41,40.6,30,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263107,182,52,52.2,,NCS,,0,,0,,39,,,,,,,,,53,52.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263107,183,52,52.2,,NCS,,0,,0,,2,,,,,,,,,55,55.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
