,doc_id,arm_id,doc,arm,"(6452745, '1.1.Goal setting (behavior)')","(6452746, '1.2 Problem solving')","(6452748, '1.4 Action planning')","(6452752, '1.8 Behavioral contract')","(6452948, '11.1 Pharmacological support')","(6452949, '11.2 Reduce negative emotions')","(6452956, '12.3 Avoidance/reducing exposure to cues for the behavior')","(6452959, '12.5 Adding objects to the environment')","(6452960, '12.6 Body changes')","(6452963, '13.2 Framing/reframing')","(6452756, '2.2 Feedback on behaviour')","(6452757, '2.3 Self-monitoring of behavior')","(6452761, '2.7 Feedback on outcome(s) of behavior')","(6452763, '3.1 Social support (unspecified)')","(6452764, '3.2 Social support (practical)')","(6452831, '4.1 Instruction on how to perform the behavior')","(6452832, '4.2 Information about Antecedents')","(6452836, '4.5. Advise to change behavior')","(6452838, '5.1 Information about health consequences')","(6452840, '5.3 Information about social and environmental consequences')","(6452853, '7.3 Reduce prompts/cues')","(6452861, '8.2 Behavior substitution')","(6452932, '9.1 Credible source')","(6452933, '9.2 Pros and cons')","('Abstinence: Continuous ', 'Abstinence: Continuous ')","('Abstinence: Point Prevalence ', 'Abstinence: Point Prevalence ')","(6451788, 'Biochemical verification')","('Combined follow up (<= 1 month)', 'Combined follow up (<= 1 month)')","('Combined follow up (<= 8 months)', 'Combined follow up (<= 8 months)')","('Combined follow up (<= 15 month)', 'Combined follow up (<= 15 month)')","('Combined follow up (<= 20 months)', 'Combined follow up (<= 20 months)')","('Combined follow up (<= 28 months)', 'Combined follow up (<= 28 months)')","('Combined follow up (Reported)', 'Combined follow up (Reported)')","(6080691, 'Digital content type')","(6080686, 'Face to face')","(6080701, 'Group-based')","(6080704, 'Health Professional')","('Individual-level analysed (<= 300)', 'Individual-level analysed (<= 300)')","('Individual-level analysed (<= 800)', 'Individual-level analysed (<= 800)')","('Individual-level analysed (<= 2500)', 'Individual-level analysed (<= 2500)')","('Individual-level analysed (<= 10000)', 'Individual-level analysed (<= 10000)')","('Individual-level analysed (<= 30000)', 'Individual-level analysed (<= 30000)')","('Mean age (adolecent)', 'Mean age (adolecent)')","('Mean age (young adult)', 'Mean age (young adult)')","('Mean age (adult)', 'Mean age (adult)')","('Mean age (elderly)', 'Mean age (elderly)')","('Mean number of times tobacco used (<= 10)', 'Mean number of times tobacco used (<= 10)')","('Mean number of times tobacco used (<= 15)', 'Mean number of times tobacco used (<= 15)')","('Mean number of times tobacco used (<= 20)', 'Mean number of times tobacco used (<= 20)')","('Mean number of times tobacco used (<= 25)', 'Mean number of times tobacco used (<= 25)')","('Mean number of times tobacco used (Reported)', 'Mean number of times tobacco used (Reported)')","(6823487, 'Motivational Interviewing')","(6080694, 'Patch')","(6830268, 'Pharmaceutical company competing interest')","(6830264, 'Pharmaceutical company funding')","(6080695, 'Pill')","(6080688, 'Printed material')","('Proportion identifying as female gender (<= 15)', 'Proportion identifying as female gender (<= 15)')","('Proportion identifying as female gender (<= 35)', 'Proportion identifying as female gender (<= 35)')","('Proportion identifying as female gender (<= 45)', 'Proportion identifying as female gender (<= 45)')","('Proportion identifying as female gender (<= 60)', 'Proportion identifying as female gender (<= 60)')","('Proportion identifying as female gender (<= 99)', 'Proportion identifying as female gender (<= 99)')","('Proportion identifying as male gender (<= 35)', 'Proportion identifying as male gender (<= 35)')","('Proportion identifying as male gender (<= 45)', 'Proportion identifying as male gender (<= 45)')","('Proportion identifying as male gender (<= 60)', 'Proportion identifying as male gender (<= 60)')","('Proportion identifying as male gender (<= 99)', 'Proportion identifying as male gender (<= 99)')","(6080693, 'Somatic')","(6080692, 'Website / Computer Program / App')","('aggregate patient role', 'aggregate patient role')","('brief advice', 'brief advice')","('bupropion', 'bupropion')","('control', 'control')","('doctor', 'doctor')","('gum', 'gum')","('healthcare facility', 'healthcare facility')","('lozenge', 'lozenge')","('nrt', 'nrt')","('nurse', 'nurse')","('phone', 'phone')","('placebo', 'placebo')","('psychologist', 'psychologist')","('text messaging', 'text messaging')","('varenicline', 'varenicline')","('External stimuli BCT', 'External stimuli BCT')","('Influence of others BCT', 'Influence of others BCT')","('Habit BCT', 'Habit BCT')","('Monitoring BCT', 'Monitoring BCT')","('Goal directed BCT', 'Goal directed BCT')","('Social support BCT', 'Social support BCT')","('Environmental restructuring BCT', 'Environmental restructuring BCT')","('Consequences BCT', 'Consequences BCT')","('Mental representation BCT', 'Mental representation BCT')","('Personal resources BCT', 'Personal resources BCT')","('Outcome', 'Outcome')"
0,437480,2278,Baggett 2018.pdf,Control arm,1,,,,1,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,1,1,1,1,1,0,0,1,1,0,0,1,1,1,,1,1,,,,0,0,0,1,1,0,1,1,1,,,,,,1,,,1,,1,,,,,0,,0,0,0,0,1,1,0,0,0,0,8
1,437480,2277,Baggett 2018.pdf,Incentive arm,1,,,,1,,,,,,,,,1,,,,,,,,,,,1,0,1,0,1,1,1,1,1,0,1,,,1,1,1,1,1,0,0,1,1,0,0.4,1,1,1,,1,1,,,,0,0,0.4,1,1,0,0,1,1,,,,,,,,,1,,1,,,,,0,,0,0,0,0,1,1,0,1,0,0,48
2,423076,1999,Rohsenow 2017.pdf,Contingent Vouchers (CV),1,1,,,1,,,,,,,,,,,1,,1,1,,,,,,0,1,1,0,0,1,1,1,1,0,,1,,1,1,1,1,1,0,0.426,1,1,0,0,1,1,1,,,,,,1,0,1,1,1,1,0,0,0,1,1,,1,,,,,,,,0,,,,,0,,0,1,0,0,1,0,0,1,1,0,3.7
3,423076,2000,Rohsenow 2017.pdf,Noncontingent Vouchers (NV),1,1,,,1,,,,,,,,,,,1,,1,1,,,,,,0,1,1,0,0,1,1,1,1,0,,1,,1,1,1,1,1,0,0.544,1,1,0,0,1,1,1,,,,,,1,0,1,1,1,1,0,0,0,1,1,,1,,,,,,,,0,,,,,0,,0,1,0,0,1,0,0,1,1,0,1.8
4,423068,1925,Drummond 2014.pdf,Usual care,,,,,,,,,,,,,1,1,,,,,,,,,,,0,1,1,0,1,1,1,1,1,0,1,,,1,1,1,1,1,0,0,1,1,0,0,1,1,1,,,,,,,0,0,1,1,1,0,0,1,1,,,,,,1,,,,,0,,,,,0,,0,0,0,1,0,1,0,0,0,0,4
5,423068,1922,Drummond 2014.pdf,Contingency management and lung age,,,,,,,,,,,,,1,1,,,,,1,,,,,,0,1,1,0,1,1,1,1,1,0,1,,,1,1,1,1,1,0,0,1,1,0,0,0,1,1,,,,,,1,0,0.4,1,1,1,0,0,0.6,1,,,,,,,,,,,0,,,,,0,,0,0,0,1,0,1,0,1,0,0,0
6,423068,1924,Drummond 2014.pdf,Lung age,,,,,,,,,,,,,1,1,,,,,1,,,,,,0,1,1,0,1,1,1,1,1,0,1,,,1,1,1,1,1,0,0,1,1,0,0,1,1,1,,,,,,1,0,0,1,1,1,0,0,1,1,,,,,,,,,,,0,,,,,0,,0,0,0,1,0,1,0,1,0,0,0
7,423068,1923,Drummond 2014.pdf,Contingency management,,,,,,,,,,,,,1,1,,,,,,,,,,,0,1,1,0,1,1,1,1,1,0,1,,,1,1,1,1,1,0,0,1,1,0,1,1,1,1,,,,,,,0,0,0,0,1,1,1,1,1,,,,,,,,,,,0,,,,,0,,0,0,0,1,0,1,0,1,0,0,14
8,263112,186,Gilbody 2015.pdf,Bespoke smoking cessation,1,,,,,,,,,,,,,1,,,,,,,,,,,0,0,1,0,0,1,1,1,1,0,1,,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,,,,,,1,0,1,1,1,1,0,0,0,1,,,,,,,1,,,,0,,,,,0,,0,0,0,0,1,1,0,0,0,0,26
9,263112,187,Gilbody 2015.pdf,Usual care,,,,,,,,,,,,,,1,,,,,,,,,,,0,0,1,0,0,1,1,1,1,0,,,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,,,,,,,0,0,0.2,1,1,0,0,1,1,,,,,,1,,,,,0,,,,,0,,0,0,0,0,0,1,0,0,0,0,16
10,437572,2634,Tong 2018.pdf,Moderate-intensity,,,,,1,,,1,,,1,,,1,1,,,,1,,,,,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,,,,,,1,1,1,1,1,1,0,0,0,0,,,,,,,,,,,0,,,,,0,,1,0,0,1,0,1,1,1,0,0,20.7
11,437572,2635,Tong 2018.pdf,Brief-intensity,,,,,,,,1,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,,,,,,,1,1,1,1,1,0,0,0,0,,,,,,,,,,,0,,,,,0,,0,0,0,0,0,0,1,0,0,0,20
