document_id,arm_id,document,arm,1.1.Goal setting (behavior)(6452745),1.2 Problem solving(6452746),1.3 Goal setting (outcome)(6452747),1.4 Action planning(6452748),1.5 Review behavior goal(s)(6452749),1.6 Discrepancy between current behavior and goal(6452750),1.7 Review outcome goal(s)(6452751),1.8 Behavioral contract(6452752),1.9 Commitment(6452753),10.1 Material incentive (behavior)(6452936),10.10 Reward (outcome)(6452945),10.11 Future punishment(6452946),10.2 Material reward (behavior)(6452937),10.3 Non-specific reward(6452938),10.4 Social reward(6452939),10.5 Social incentive(6452940),10.6 Non-specific incentive(6452941),10.8 Incentive (outcome)(6452943),10.9 Self-reward(6452944),11.1 Pharmacological support(6452948),11.2 Reduce negative emotions(6452949),12.1 Restructuring the physical environment(6452954),12.2 Restructuring the social environment(6452955),12.3 Avoidance/reducing exposure to cues for the behavior(6452956),12.4 Distraction(6452957),12.5 Adding objects to the environment(6452959),12.6 Body changes(6452960),13.1 Identification of self as role model(6452962),13.2 Framing/reframing(6452963),13.3 Incompatible beliefs(6452964),13.4 Valued self-identify(6452965),13.5 Identity associated with changed behavior(6452966),14.1 Behavior cost(6452968),14.2 Punishment(6452969),14.3 Remove reward(6452970),14.4 Reward approximation(6452973),14.8 Reward alternative behavior(6452977),14.9 Reduce reward frequency(6452978),15.1 Verbal persuasion about capability(6452981),15.2 Mental rehearsal of successful performance(6452982),15.3 Focus on past success(6452983),15.4 Self-talk(6452984),16.1 Imaginary punishment(6452986),16.2 Imaginary reward(6452987),2.1 Monitoring of behavior by others without feedback(6452755),2.2 Feedback on behaviour(6452756),2.3 Self-monitoring of behavior(6452757),2.4 Self-monitoring of outcome(s) of behaviour(6452758),2.5 Monitoring of outcome(s) of behavior without feedback(6452759),2.6 Biofeedback(6452760),2.7 Feedback on outcome(s) of behavior(6452761),3.1 Social support (unspecified)(6452763),3.2 Social support (practical)(6452764),3.3 Social support (emotional)(6452765),4.1 Instruction on how to perform the behavior(6452831),4.2 Information about Antecedents(6452832),4.3 Re-attribution(6452833),4.5. Advise to change behavior(6452836),5.1 Information about health consequences(6452838),5.2 Salience of consequences(6452839),5.3 Information about social and environmental consequences(6452840),5.4 Monitoring of emotional consequences(6452843),6.1 Demonstration of behavior(6452847),6.2 Social comparison(6452848),6.3 Information about others' approval(6452849),7.1 Prompts/cues(6452851),7.3 Reduce prompts/cues(6452853),7.4 Remove access to the reward(6452854),7.5 Remove aversive stimulus(6452855),7.6 Satiation(6452856),7.7 Exposure(6452857),7.8 Associative learning(6452858),8.1 Behavioral practice/rehearsal(6452860),8.2 Behavior substitution(6452861),8.4 Habit reversal(6452863),8.7 Graded tasks(6452930),9.1 Credible source(6452932),9.2 Pros and cons(6452933),9.3 Comparative imagining of future outcomes(6452934),Abstinence: Continuous ,Abstinence: Point Prevalence ,Biochemical verification(6451788),CBT(6823485),Combined follow up,Country of intervention(6080518),Digital content type(6080691),Face to face(6080686),Group-based(6080701),Health Professional(6080704),Individual-level analysed(6080719),Mean age(6080481),Mean number of times tobacco used(6080512),Motivational Interviewing(6823487),Outcome value(6451791),Patch(6080694),Pharmaceutical company competing interest(6830268),Pharmaceutical company funding(6830264),Pill(6080695),Pregnancy trial,Pregnancy trial (Mixed),Printed material(6080688),Proportion identifying as female gender(6080485),Proportion identifying as male gender(6080486),Relapse Prevention Trial,Relapse Prevention Trial(Mixed),Somatic(6080693),Website / Computer Program / App(6080692),aggregate patient role,brief advise,bupropion,control,doctor,e_cigarette,gum,healthcare facility,inhaler,lozenge,nasal_spray,nrt,nurse,phone,placebo,psychologist,text messaging,varenicline
437480,2278,Baggett 2018.pdf,Control arm,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0,1,-,8.0,United States,0,1,-,-,25.0,45.1,16.2,-,8.0,1,1,-,-,-,-,-,56.0,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,0,-
437480,2277,Baggett 2018.pdf,Incentive arm,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0,1,-,8.0,United States,0,1,-,-,25.0,48.1,15.6,-,48.0,1,1,-,-,-,-,-,48.0,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,0,-
263134,231,Heil 2008(c) primary paper.pdf,Contingent-voucher condition,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,1.0,-,24.0,-,0.0,-,-,-,37.0,25.3,7.0,-,8.0,-,-,-,-,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-
263134,232,Heil 2008(c) primary paper.pdf,Non-contingent-voucher condition,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,1.0,-,24.0,-,0.0,-,-,-,40.0,23.4,7.0,-,3.0,-,-,-,-,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-
423076,1999,Rohsenow 2017.pdf,Contingent Vouchers (CV),1.0,1.0,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,-,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,1.0,-,52.2,-,0.0,-,1.0,-,172.0,37.87,19.95,-,3.7,-,-,-,-,-,-,1.0,-,66.0,-,-,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,0.0,-
423076,2000,Rohsenow 2017.pdf,Noncontingent Vouchers (NV),1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,-,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,1.0,-,52.2,-,0.0,-,1.0,-,168.0,37.28,18.99,-,1.8,-,-,-,-,-,-,1.0,-,69.0,-,-,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,0.0,-
423068,1925,Drummond 2014.pdf,Usual care,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,1,-,26.1,United States,0,1,-,-,26.0,52.3,19.0,-,4.0,-,-,-,-,-,-,-,42.0,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,0,-
423068,1922,Drummond 2014.pdf,Contingency management and lung age,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,1,-,26.1,United States,0,1,-,-,24.0,49.2,21.0,-,0.0,-,-,-,-,-,-,1,38.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
423068,1924,Drummond 2014.pdf,Lung age,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,1,-,26.1,United States,0,1,-,-,24.0,46.1,17.0,-,0.0,-,-,-,-,-,-,1,42.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
423068,1923,Drummond 2014.pdf,Contingency management,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,1,-,26.1,United States,0,1,-,-,26.0,51.2,12.0,-,14.0,-,-,-,-,-,-,-,65.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
